Comment,Designator,Footprint,LCSC,Quantity
SN65HVD230,U7,SOIC-8_3.9x4.9mm_P1.27mm_handsolder,C12084,1
74AHCT125,"U3,U4",SOIC-14_3.9x8.7mm_P1.27mm_handsolder,C155176,2
u1,"C10,C11,C12,C13,C2,C3,C6,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,9
k1,"R12,R15,R16,R18,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,5
10k,"R10,R11,R13,R17,R19,R3,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,7
1k,"R14,R4,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,3
4k7,"R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,2
2A,"F1,F2,F3,F4,F5,F6,F7,F8",Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,C19078744,8
RESET,"SW2,SW4",SW_SPST_TL3342_smaller_handsolder,C318884,2
BC847,Q2,SOT-23_Handsoldering,C41371422,1
22u,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5674,1
10u,"C1,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C6119888,2
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
ESP32-WROOM-E,U2,ESP32-WROOM-32_HANDSOLDER,C701342,1
INFO,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84261,1
MAX3485,U5,SOIC-8_3.9x4.9mm_P1.27mm_handsolder,C8963,1
