Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.9,-137.9,0.0,top
C10,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.2,-128.8,-90.0,top
C11,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.6,-120.6,180.0,top
C12,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.9,-115.7,180.0,top
C13,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,159.3,-122.8,90.0,top
C2,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.9,-140.2,0.0,top
C3,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.1,-138.409919,90.0,top
C4,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.1,-138.409919,90.0,top
C6,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.495,-108.2,90.0,top
C7,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.495,-108.2,90.0,top
C8,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.2,-102.05,0.0,top
C9,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.9,-147.7,0.0,top
D2,INFO,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.2,-137.8,0.0,top
F1,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,103.1,-143.8,90.0,top
F2,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,103.1,-133.7,-90.0,top
F3,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,103.1,-124.1,90.0,top
F4,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,103.1,-112.9,90.0,top
F5,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,186.9,-107.7,90.0,top
F6,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,186.9,-119.6,90.0,top
F7,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,186.9,-131.4,90.0,top
F8,2A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,186.9,-141.0,-90.0,top
Q2,BC847,SOT-23_Handsoldering,135.9,-138.7,180.0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.7,-119.0,180.0,top
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.7,-126.5,0.0,top
R12,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.1,-147.7,0.0,top
R14,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.7,-125.6,180.0,top
R16,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.185411,-118.542624,-90.0,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.285411,-117.3,-90.0,top
R18,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.8,-116.9,-90.0,top
R19,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.9,-117.7,180.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.3,-126.5,180.0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.5,-139.7,180.0,top
R5,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.6,-108.7,90.0,top
R6,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.5,-108.7,90.0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.5,-108.5,180.0,top
R8,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.15,-104.25,180.0,top
R9,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.5,-137.8,0.0,top
SW2,RESET,SW_SPST_TL3342_smaller_handsolder,169.0,-102.7,180.0,top
SW4,PROG,SW_SPST_TL3342_smaller_handsolder,171.9,-143.9,135.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,161.5,-139.9,180.0,top
U2,ESP32-WROOM-E,ESP32-WROOM-32_HANDSOLDER,144.995,-117.22,0.0,top
U3,74AHCT125,SOIC-14_3.9x8.7mm_P1.27mm_handsolder,122.2,-122.7,-90.0,top
U4,74AHCT125,SOIC-14_3.9x8.7mm_P1.27mm_handsolder,172.0,-115.8,-90.0,top
